Gene,Reliability,Locations
ENSG00000116299,Supported,{'Plasma membrane'}
ENSG00000116337,Enhanced,{'Cytosol'}
ENSG00000116350,Supported,{'Nuclear speckles'}
ENSG00000116353,Supported,{'Mitochondria'}
ENSG00000116396,Approved,{'Cytosol'}
ENSG00000116406,Approved,{'Endoplasmic reticulum'}
ENSG00000116455,Supported,"{'Golgi apparatus', 'Cytosol', 'Nucleoplasm'}"
ENSG00000116459,Supported,{'Mitochondria'}
ENSG00000116478,Enhanced,{'Nucleoplasm'}
ENSG00000116497,Supported,{'Nuclear speckles'}
ENSG00000116514,Approved,{'Cytosol'}
ENSG00000116521,Supported,{'Vesicles'}
ENSG00000116525,Approved,"{'Focal adhesion sites', 'Vesicles'}"
ENSG00000116539,Supported,"{'Golgi apparatus', 'Nucleoplasm'}"
ENSG00000116560,Enhanced,{'Nucleoplasm'}
ENSG00000116580,Enhanced,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000116586,Approved,"{'Vesicles', 'Nucleoplasm'}"
ENSG00000116604,Enhanced,"{'Vesicles', 'Nucleoplasm'}"
ENSG00000116649,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000116661,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000116667,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000116668,Approved,{'Cytosol'}
ENSG00000116670,Approved,"{'Nucleoli', 'Cytosol'}"
ENSG00000116675,Approved,"{'Plasma membrane', 'Cytosol', 'Nucleoplasm'}"
ENSG00000116679,Supported,{'Cytosol'}
ENSG00000116685,Approved,"{'Golgi apparatus', 'Cytosol'}"
ENSG00000116691,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000116698,Supported,"{'Intermediate filaments', 'Cytosol'}"
ENSG00000116701,Supported,"{'Nucleoli', 'Cytosol'}"
ENSG00000116711,Supported,{'Cytosol'}
ENSG00000116717,Supported,{'Nuclear speckles'}
ENSG00000116729,Supported,"{'Endoplasmic reticulum', 'Cytosol'}"
ENSG00000116731,Approved,"{'Golgi apparatus', 'Nucleoplasm'}"
ENSG00000116741,Supported,{'Cytosol'}
ENSG00000116747,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000116750,Supported,"{'Mitochondria', 'Nucleoplasm'}"
ENSG00000116752,Supported,"{'Nuclear speckles', 'Centrosome'}"
ENSG00000116754,Supported,{'Nuclear speckles'}
ENSG00000116774,Supported,{'Vesicles'}
ENSG00000116791,Supported,{'Cytosol'}
ENSG00000116793,Approved,"{'Nucleoli', 'Nuclear bodies'}"
ENSG00000116830,Supported,{'Cytosol'}
ENSG00000116852,Approved,"{'Plasma membrane', 'Mitotic spindle', 'Cytosol'}"
ENSG00000116863,Enhanced,{'Nucleoplasm'}
ENSG00000116871,Approved,"{'Microtubules', 'Cytosol'}"
ENSG00000116874,Supported,"{'Plasma membrane', 'Mitochondria'}"
ENSG00000116885,Approved,"{'Plasma membrane', 'Nucleoli', 'Nucleoplasm'}"
ENSG00000116898,Supported,{'Mitochondria'}
ENSG00000116903,Supported,{'Cytosol'}
ENSG00000116918,Enhanced,"{'Golgi apparatus', 'Cytosol', 'Nucleoplasm'}"
ENSG00000116922,Supported,"{'Nucleoli', 'Cytosol', 'Nucleoplasm'}"
ENSG00000116954,Supported,"{'Vesicles', 'Nucleoplasm'}"
ENSG00000116977,Approved,{'Plasma membrane'}
ENSG00000116983,Approved,{'Cytosol'}
ENSG00000116984,Supported,{'Cytosol'}
ENSG00000116990,Enhanced,{'Nucleoplasm'}
ENSG00000116991,Approved,"{'Nuclear membrane', 'Golgi apparatus', 'Nuclear bodies'}"
ENSG00000117000,Approved,"{'Nucleoli', 'Nucleoplasm'}"
ENSG00000117010,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000117016,Approved,"{'Mitochondria', 'Nucleoli'}"
ENSG00000117020,Supported,{'Cytosol'}
ENSG00000117036,Supported,{'Nucleoplasm'}
ENSG00000117054,Enhanced,{'Mitochondria'}
ENSG00000117069,Approved,{'Vesicles'}
ENSG00000117091,Supported,"{'Plasma membrane', 'Nucleoli fibrillar center', 'Cytosol'}"
ENSG00000117114,Approved,"{'Plasma membrane', 'Cell Junctions'}"
ENSG00000117118,Supported,{'Mitochondria'}
ENSG00000117133,Supported,{'Nucleoli'}
ENSG00000117139,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000117143,Supported,"{'Plasma membrane', 'Cytosol', 'Nucleoplasm'}"
ENSG00000117148,Approved,{'Cytosol'}
ENSG00000117152,Approved,{'Intermediate filaments'}
ENSG00000117153,Supported,"{'Vesicles', 'Centriolar satellite'}"
ENSG00000117155,Approved,{'Cell Junctions'}
ENSG00000117174,Approved,"{'Vesicles', 'Nuclear speckles'}"
ENSG00000117222,Supported,"{'Nucleoli', 'Nucleoplasm'}"
ENSG00000117245,Approved,"{'Plasma membrane', 'Nucleoplasm'}"
ENSG00000117262,Approved,{'Endoplasmic reticulum'}
ENSG00000117266,Approved,{'Actin filaments'}
ENSG00000117308,Approved,"{'Plasma membrane', 'Cytosol', 'Nucleoplasm'}"
ENSG00000117318,Supported,{'Nucleoplasm'}
ENSG00000117360,Enhanced,{'Nucleoplasm'}
ENSG00000117385,Approved,"{'Nucleoli', 'Vesicles'}"
ENSG00000117394,Enhanced,{'Plasma membrane'}
ENSG00000117395,Enhanced,{'Nucleoli'}
ENSG00000117399,Enhanced,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000117400,Supported,"{'Plasma membrane', 'Nuclear membrane'}"
ENSG00000117410,Approved,{'Cytosol'}
ENSG00000117411,Supported,"{'Vesicles', 'Golgi apparatus'}"
ENSG00000117419,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000117448,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000117450,Supported,{'Mitochondria'}
ENSG00000117461,Approved,"{'Vesicles', 'Nucleoplasm'}"
ENSG00000117472,Approved,"{'Vesicles', 'Nucleoplasm'}"
ENSG00000117475,Supported,"{'Golgi apparatus', 'Nucleoplasm'}"
ENSG00000117477,Approved,{'Nuclear speckles'}
ENSG00000117479,Approved,{'Cytosol'}
ENSG00000117480,Approved,{'Cytosol'}
ENSG00000117505,Supported,{'Nucleoplasm'}
ENSG00000117519,Enhanced,"{'Actin filaments', 'Cytosol'}"
ENSG00000117523,Enhanced,{'Cytosol'}
ENSG00000117525,Approved,{'Vesicles'}
ENSG00000117528,Enhanced,{'Peroxisomes'}
ENSG00000117533,Approved,{'Golgi apparatus'}
ENSG00000117543,Approved,{'Golgi apparatus'}
ENSG00000117569,Approved,{'Nucleoplasm'}
ENSG00000117586,Approved,"{'Vesicles', 'Nucleoplasm'}"
ENSG00000117592,Supported,"{'Plasma membrane', 'Cytosol'}"
ENSG00000117593,Supported,"{'Mitochondria', 'Nucleoplasm'}"
ENSG00000117595,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000117598,Approved,"{'Plasma membrane', 'Cytosol'}"
ENSG00000117602,Approved,"{'Nucleoli fibrillar center', 'Nuclear speckles'}"
ENSG00000117614,Supported,{'Nuclear speckles'}
ENSG00000117616,Approved,{'Nucleoplasm'}
ENSG00000117625,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000117632,Supported,{'Cytosol'}
ENSG00000117640,Approved,"{'Cell Junctions', 'Mitochondria'}"
ENSG00000117650,Supported,"{'Centrosome', 'Nucleoplasm'}"
ENSG00000117676,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000117691,Enhanced,{'Nucleoplasm'}
ENSG00000117697,Supported,{'Nuclear speckles'}
ENSG00000117707,Supported,{'Nucleoplasm'}
ENSG00000117713,Enhanced,{'Nucleoplasm'}
ENSG00000117724,Supported,{'Nucleoplasm'}
ENSG00000117748,Enhanced,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000117751,Enhanced,"{'Nuclear speckles', 'Nucleoplasm'}"
ENSG00000117758,Supported,"{'Vesicles', 'Golgi apparatus', 'Nucleoplasm'}"
ENSG00000117834,Approved,"{'Actin filaments', 'Cytosol'}"
ENSG00000117859,Supported,"{'Vesicles', 'Golgi apparatus'}"
ENSG00000117877,Enhanced,"{'Mitochondria', 'Nucleoli fibrillar center', 'Nucleoplasm'}"
ENSG00000117899,Supported,"{'Nuclear bodies', 'Endoplasmic reticulum', 'Cytosol'}"
ENSG00000117906,Enhanced,{'Endoplasmic reticulum'}
ENSG00000117971,Approved,"{'Cell Junctions', 'Endoplasmic reticulum'}"
ENSG00000117983,Supported,{'Vesicles'}
ENSG00000118007,Enhanced,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000118046,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000118058,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000118096,Approved,{'Actin filaments'}
ENSG00000118137,Approved,"{'Vesicles', 'Cytosol'}"
ENSG00000118156,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000118162,Approved,"{'Plasma membrane', 'Cytosol', 'Nucleoplasm'}"
ENSG00000118181,Approved,"{'Endoplasmic reticulum', 'Cytosol'}"
ENSG00000118193,Supported,"{'Cytosol', 'Midbody ring'}"
ENSG00000118197,Approved,"{'Actin filaments', 'Nucleoplasm'}"
ENSG00000118200,Supported,"{'Microtubule ends', 'Cytosol'}"
ENSG00000118231,Approved,"{'Cytokinetic bridge', 'Intermediate filaments', 'Plasma membrane'}"
ENSG00000118242,Approved,{'Vesicles'}
ENSG00000118246,Supported,{'Mitochondria'}
ENSG00000118257,Supported,"{'Plasma membrane', 'Vesicles'}"
ENSG00000118260,Enhanced,{'Nucleoplasm'}
ENSG00000118263,Approved,{'Golgi apparatus'}
ENSG00000118271,Approved,{'Golgi apparatus'}
ENSG00000118292,Approved,{'Plasma membrane'}
ENSG00000118298,Approved,{'Plasma membrane'}
ENSG00000118363,Approved,{'Nucleoplasm'}
ENSG00000118369,Approved,"{'Nucleoli fibrillar center', 'Nucleoplasm'}"
ENSG00000118407,Approved,{'Actin filaments'}
ENSG00000118412,Approved,"{'Nucleoli', 'Nuclear bodies'}"
ENSG00000118418,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000118420,Approved,{'Rods & Rings'}
ENSG00000118432,Supported,{'Plasma membrane'}
ENSG00000118473,Approved,{'Mitochondria'}
ENSG00000118482,Approved,{'Nucleoplasm'}
ENSG00000118495,Supported,{'Nuclear bodies'}
ENSG00000118496,Approved,{'Microtubules'}
ENSG00000118503,Supported,{'Vesicles'}
ENSG00000118507,Approved,{'Vesicles'}
ENSG00000118508,Approved,{'Cytosol'}
ENSG00000118513,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000118514,Supported,{'Centrosome'}
ENSG00000118515,Enhanced,{'Nuclear speckles'}
ENSG00000118518,Supported,"{'Plasma membrane', 'Cytosol', 'Nucleoplasm'}"
ENSG00000118523,Approved,"{'Vesicles', 'Golgi apparatus'}"
ENSG00000118557,Approved,{'Endoplasmic reticulum'}
ENSG00000118579,Supported,{'Nucleoplasm'}
ENSG00000118596,Approved,"{'Plasma membrane', 'Nucleoplasm'}"
ENSG00000118600,Approved,"{'Golgi apparatus', 'Nucleoplasm'}"
ENSG00000118640,Supported,"{'Golgi apparatus', 'Nucleoplasm'}"
ENSG00000118655,Supported,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000118680,Approved,"{'Nucleoli fibrillar center', 'Nucleoplasm'}"
ENSG00000118689,Enhanced,{'Nucleoplasm'}
ENSG00000118690,Approved,{'Nucleoplasm'}
ENSG00000118705,Supported,{'Endoplasmic reticulum'}
ENSG00000118707,Enhanced,"{'Centrosome', 'Nucleoplasm'}"
ENSG00000118762,Supported,{'Endoplasmic reticulum'}
ENSG00000118777,Supported,"{'Plasma membrane', 'Nucleoplasm'}"
ENSG00000118785,Enhanced,{'Golgi apparatus'}
ENSG00000118804,Supported,{'Cytosol'}
ENSG00000118816,Approved,"{'Nuclear bodies', 'Golgi apparatus', 'Nucleoplasm'}"
ENSG00000118849,Approved,"{'Endoplasmic reticulum', 'Golgi apparatus'}"
ENSG00000118855,Approved,"{'Nucleoli', 'Nucleoplasm'}"
ENSG00000118873,Supported,"{'Plasma membrane', 'Cytosol'}"
ENSG00000118898,Approved,"{'Plasma membrane', 'Cytosol', 'Nucleoplasm'}"
ENSG00000118900,Supported,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000118922,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000118939,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000118946,Approved,"{'Plasma membrane', 'Vesicles', 'Cytosol'}"
ENSG00000118960,Approved,"{'Nucleoli', 'Cytosol'}"
ENSG00000118971,Enhanced,{'Nucleoplasm'}
ENSG00000118985,Supported,{'Nucleoplasm'}
ENSG00000118997,Supported,{'Cytosol'}
ENSG00000119041,Supported,"{'Nuclear membrane', 'Nucleoplasm'}"
ENSG00000119042,Supported,{'Nucleoplasm'}
ENSG00000119048,Supported,"{'Plasma membrane', 'Vesicles', 'Cytosol', 'Nucleoplasm'}"
ENSG00000119125,Approved,{'Nucleoplasm'}
ENSG00000119138,Approved,"{'Plasma membrane', 'Cytosol', 'Nucleoplasm'}"
ENSG00000119139,Enhanced,"{'Plasma membrane', 'Cell Junctions', 'Nucleoplasm'}"
ENSG00000119185,Supported,"{'Nucleoplasm', 'Nuclear bodies', 'Cytosol', 'Centriolar satellite'}"
ENSG00000119231,Supported,"{'Plasma membrane', 'Nucleoli'}"
ENSG00000119242,Supported,"{'Centrosome', 'Nucleoplasm'}"
ENSG00000119280,Supported,{'Cytosol'}
ENSG00000119285,Enhanced,"{'Mitochondria', 'Nucleoli fibrillar center'}"
ENSG00000119314,Approved,{'Nucleoplasm'}
ENSG00000119318,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000119321,Approved,"{'Nucleoli', 'Cytosol'}"
ENSG00000119328,Supported,"{'Cytokinetic bridge', 'Cytosol', 'Nucleoplasm'}"
ENSG00000119333,Approved,{'Cytosol'}
ENSG00000119335,Enhanced,"{'Lipid droplets', 'Nucleoplasm'}"
ENSG00000119383,Enhanced,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000119392,Supported,"{'Nucleoli', 'Nuclear membrane'}"
ENSG00000119396,Supported,{'Vesicles'}
ENSG00000119397,Supported,"{'Cytosol', 'Centrosome'}"
ENSG00000119401,Approved,{'Intermediate filaments'}
ENSG00000119402,Approved,{'Nucleoplasm'}
ENSG00000119408,Supported,"{'Centriolar satellite', 'Cytosol', 'Nucleoplasm'}"
ENSG00000119411,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000119421,Supported,{'Mitochondria'}
ENSG00000119431,Enhanced,"{'Nucleoli', 'Vesicles'}"
ENSG00000119446,Approved,"{'Nucleoplasm', 'Nucleoli fibrillar center', 'Cytosol', 'Midbody'}"
ENSG00000119471,Enhanced,{'Mitochondria'}
ENSG00000119487,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000119509,Approved,{'Cytosol'}
ENSG00000119522,Supported,"{'Vesicles', 'Cytosol', 'Nucleoplasm'}"
ENSG00000119523,Enhanced,"{'Actin filaments', 'Cytosol'}"
ENSG00000119541,Approved,{'Vesicles'}
ENSG00000119547,Supported,"{'Actin filaments', 'Nucleoplasm'}"
ENSG00000119559,Approved,{'Intermediate filaments'}
ENSG00000119574,Approved,{'Cytosol'}
ENSG00000119596,Supported,"{'Nuclear speckles', 'Nucleoplasm'}"
ENSG00000119599,Approved,{'Nucleoplasm'}
ENSG00000119616,Approved,{'Nucleoplasm'}
ENSG00000119630,Approved,"{'Mitochondria', 'Cytosol', 'Nucleoplasm'}"
ENSG00000119632,Approved,"{'Nucleoli', 'Cytosol'}"
ENSG00000119636,Approved,"{'Plasma membrane', 'Centriolar satellite', 'Nucleoplasm'}"
ENSG00000119638,Approved,{'Mitochondria'}
ENSG00000119640,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000119650,Supported,"{'Microtubules', 'Centriolar satellite'}"
ENSG00000119661,Approved,"{'Centriolar satellite', 'Nucleoplasm'}"
ENSG00000119669,Enhanced,{'Nucleoplasm'}
ENSG00000119673,Approved,{'Mitochondria'}
ENSG00000119681,Approved,{'Nucleoplasm'}
ENSG00000119684,Approved,{'Nucleoplasm'}
ENSG00000119685,Supported,"{'Plasma membrane', 'Cytosol'}"
ENSG00000119698,Supported,{'Cytosol'}
ENSG00000119699,Approved,{'Vesicles'}
ENSG00000119703,Approved,"{'Mitochondria', 'Nuclear speckles'}"
ENSG00000119705,Supported,{'Mitochondria'}
ENSG00000119707,Enhanced,{'Nuclear speckles'}
ENSG00000119711,Enhanced,{'Mitochondria'}
ENSG00000119718,Approved,"{'Focal adhesion sites', 'Plasma membrane', 'Nucleoplasm'}"
ENSG00000119720,Supported,"{'Mitochondria', 'Nucleoplasm'}"
ENSG00000119725,Approved,{'Nuclear bodies'}
ENSG00000119729,Approved,"{'Vesicles', 'Cytosol'}"
ENSG00000119760,Approved,{'Nucleoplasm'}
ENSG00000119771,Approved,"{'Mitochondria', 'Cytosol'}"
ENSG00000119772,Supported,{'Nucleoplasm'}
ENSG00000119777,Supported,"{'Endoplasmic reticulum', 'Golgi apparatus', 'Cytosol'}"
ENSG00000119778,Supported,{'Nucleoplasm'}
ENSG00000119782,Approved,{'Vesicles'}
ENSG00000119787,Supported,{'Endoplasmic reticulum'}
ENSG00000119801,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000119812,Supported,{'Vesicles'}
ENSG00000119820,Supported,"{'Plasma membrane', 'Vesicles', 'Golgi apparatus'}"
ENSG00000119844,Supported,"{'Vesicles', 'Golgi apparatus', 'Cytosol'}"
ENSG00000119862,Approved,{'Nucleoplasm'}
ENSG00000119865,Approved,{'Cytosol'}
ENSG00000119866,Supported,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000119878,Approved,"{'Nucleoli fibrillar center', 'Nucleoplasm'}"
ENSG00000119888,Supported,{'Plasma membrane'}
ENSG00000119899,Supported,"{'Plasma membrane', 'Cytosol'}"
ENSG00000119900,Approved,"{'Golgi apparatus', 'Nucleoplasm'}"
ENSG00000119906,Supported,"{'Vesicles', 'Nucleoplasm'}"
ENSG00000119915,Approved,"{'Vesicles', 'Cytosol'}"
ENSG00000119917,Supported,"{'Mitochondria', 'Cytosol'}"
ENSG00000119922,Approved,{'Vesicles'}
ENSG00000119927,Approved,{'Mitochondria'}
ENSG00000119929,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000119943,Approved,{'Mitochondria'}
ENSG00000119950,Supported,"{'Nucleoli', 'Cytosol', 'Nucleoplasm'}"
ENSG00000119953,Enhanced,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000119969,Approved,"{'Vesicles', 'Golgi apparatus', 'Nucleoplasm'}"
ENSG00000119977,Approved,{'Microtubules'}
ENSG00000119979,Approved,"{'Plasma membrane', 'Cytosol', 'Centrosome'}"
ENSG00000119986,Approved,"{'Plasma membrane', 'Nucleoplasm'}"
ENSG00000120008,Approved,"{'Microtubules', 'Cytosol'}"
ENSG00000120029,Approved,{'Vesicles'}
ENSG00000120049,Approved,{'Vesicles'}
ENSG00000120051,Approved,"{'Plasma membrane', 'Vesicles', 'Cytosol'}"
ENSG00000120053,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000120063,Supported,{'Cytosol'}
ENSG00000120068,Supported,{'Nucleoplasm'}
ENSG00000120071,Supported,{'Nucleoplasm'}
ENSG00000120075,Supported,"{'Nucleoli fibrillar center', 'Cytosol', 'Nucleoplasm'}"
ENSG00000120093,Supported,{'Nucleoplasm'}
ENSG00000120129,Approved,"{'Nucleoli', 'Cytosol'}"
ENSG00000120137,Approved,"{'Golgi apparatus', 'Nucleoplasm'}"
ENSG00000120149,Supported,{'Nuclear speckles'}
ENSG00000120156,Supported,{'Plasma membrane'}
ENSG00000120158,Approved,{'Nucleoplasm'}
ENSG00000120159,Approved,{'Vesicles'}
ENSG00000120254,Supported,{'Mitochondria'}
ENSG00000120256,Approved,{'Mitochondria'}
ENSG00000120262,Approved,"{'Cell Junctions', 'Golgi apparatus'}"
ENSG00000120265,Supported,{'Cytosol'}
ENSG00000120278,Enhanced,{'Nucleoplasm'}
ENSG00000120279,Supported,{'Nucleoplasm'}
ENSG00000120280,Approved,"{'Vesicles', 'Nucleoplasm'}"
ENSG00000120314,Enhanced,"{'Nucleoli', 'Nucleoplasm'}"
ENSG00000120327,Approved,{'Vesicles'}
ENSG00000120328,Approved,{'Plasma membrane'}
ENSG00000120333,Supported,"{'Mitochondria', 'Nuclear membrane'}"
ENSG00000120341,Approved,"{'Plasma membrane', 'Endoplasmic reticulum', 'Actin filaments'}"
ENSG00000120370,Enhanced,"{'Nucleoli', 'Golgi apparatus', 'Cytosol', 'Nucleoplasm'}"
ENSG00000120437,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000120440,Approved,"{'Nucleoli', 'Nuclear membrane'}"
ENSG00000120451,Supported,{'Mitochondria'}
ENSG00000120458,Supported,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000120526,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000120533,Approved,"{'Mitochondria', 'Nucleoplasm'}"
ENSG00000120539,Enhanced,{'Nucleoplasm'}
ENSG00000120549,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000120594,Supported,{'Nuclear bodies'}
ENSG00000120616,Supported,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000120645,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000120647,Approved,{'Nuclear membrane'}
ENSG00000120658,Supported,{'Plasma membrane'}
ENSG00000120685,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000120688,Supported,{'Nucleoplasm'}
ENSG00000120690,Supported,{'Nucleoplasm'}
ENSG00000120693,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000120694,Enhanced,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000120697,Approved,{'Cytosol'}
ENSG00000120699,Supported,"{'Vesicles', 'Nucleoli fibrillar center'}"
ENSG00000120727,Supported,{'Vesicles'}
ENSG00000120733,Enhanced,{'Nucleoplasm'}
ENSG00000120738,Enhanced,{'Nucleoplasm'}
ENSG00000120742,Approved,{'Endoplasmic reticulum'}
ENSG00000120784,Approved,{'Cytosol'}
ENSG00000120798,Supported,"{'Cell Junctions', 'Cytosol', 'Nucleoplasm'}"
ENSG00000120800,Supported,"{'Plasma membrane', 'Nucleoli'}"
ENSG00000120802,Enhanced,{'Nuclear membrane'}
ENSG00000120805,Supported,{'Golgi apparatus'}
ENSG00000120820,Approved,"{'Vesicles', 'Golgi apparatus'}"
ENSG00000120833,Approved,{'Endoplasmic reticulum'}
ENSG00000120837,Supported,{'Nucleoplasm'}
ENSG00000120860,Approved,{'Vesicles'}
ENSG00000120868,Supported,"{'Golgi apparatus', 'Cytosol', 'Nucleoplasm'}"
ENSG00000120875,Supported,{'Nucleoplasm'}
ENSG00000120896,Approved,"{'Focal adhesion sites', 'Cytosol'}"
ENSG00000120899,Supported,"{'Plasma membrane', 'Cytosol'}"
ENSG00000120910,Approved,{'Vesicles'}
ENSG00000120913,Supported,"{'Focal adhesion sites', 'Actin filaments'}"
ENSG00000120915,Enhanced,{'Cytosol'}
ENSG00000120942,Approved,{'Vesicles'}
ENSG00000120948,Enhanced,{'Nucleoplasm'}
ENSG00000120949,Supported,{'Plasma membrane'}
ENSG00000120963,Approved,{'Plasma membrane'}
ENSG00000120992,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000121022,Enhanced,{'Nucleoplasm'}
ENSG00000121039,Supported,{'Lipid droplets'}
ENSG00000121057,Supported,{'Mitochondria'}
ENSG00000121058,Enhanced,"{'Nucleoli', 'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000121060,Approved,"{'Nuclear bodies', 'Cytosol'}"
ENSG00000121064,Approved,{'Golgi apparatus'}
ENSG00000121068,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000121073,Approved,"{'Vesicles', 'Endoplasmic reticulum', 'Nucleoplasm'}"
ENSG00000121075,Approved,{'Vesicles'}
ENSG00000121101,Approved,"{'Plasma membrane', 'Cell Junctions', 'Vesicles', 'Cytosol'}"
ENSG00000121104,Approved,{'Nucleoplasm'}
ENSG00000121152,Supported,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000121210,Approved,{'Vesicles'}
ENSG00000121281,Approved,{'Cytosol'}
ENSG00000121289,Supported,"{'Plasma membrane', 'Cytosol'}"
ENSG00000121297,Enhanced,"{'Plasma membrane', 'Nucleoplasm'}"
ENSG00000121310,Approved,{'Mitochondria'}
ENSG00000121350,Approved,{'Nuclear speckles'}
ENSG00000121390,Supported,"{'Nucleoli fibrillar center', 'Nucleoplasm'}"
ENSG00000121406,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000121413,Approved,{'Nucleoplasm'}
ENSG00000121417,Approved,"{'Mitochondria', 'Rods & Rings'}"
ENSG00000121454,Approved,{'Nuclear speckles'}
ENSG00000121481,Enhanced,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000121486,Approved,"{'Nucleoli', 'Nucleoplasm'}"
ENSG00000121552,Approved,"{'Cytosol', 'Nucleoplasm'}"
ENSG00000121570,Approved,"{'Nucleoli', 'Cytosol', 'Nucleoplasm'}"
ENSG00000121578,Supported,{'Golgi apparatus'}
ENSG00000121621,Supported,"{'Cytokinetic bridge', 'Microtubules'}"
ENSG00000121644,Approved,{'Vesicles'}
ENSG00000121653,Enhanced,{'Plasma membrane'}
ENSG00000121671,Supported,"{'Cytosol', 'Nuclear speckles'}"
ENSG00000121690,Approved,"{'Nucleoli', 'Cytosol', 'Nucleoplasm'}"
ENSG00000121691,Enhanced,{'Vesicles'}
ENSG00000121716,Approved,{'Mitochondria'}
ENSG00000121741,Approved,"{'Endoplasmic reticulum', 'Nucleoplasm'}"
ENSG00000121742,Supported,{'Cell Junctions'}
ENSG00000121749,Supported,"{'Mitochondria', 'Cytosol'}"
ENSG00000121753,Enhanced,{'Centrosome'}
ENSG00000121774,Enhanced,{'Nucleoplasm'}
ENSG00000121775,Approved,{'Vesicles'}
ENSG00000121858,Approved,{'Microtubules'}
ENSG00000121864,Supported,{'Nucleoplasm'}
ENSG00000121871,Approved,{'Mitochondria'}
ENSG00000121879,Approved,{'Cytosol'}
ENSG00000121892,Enhanced,{'Nucleoplasm'}
ENSG00000121897,Approved,"{'Mitochondria', 'Cytosol', 'Nucleoplasm'}"
ENSG00000121900,Approved,{'Vesicles'}
ENSG00000121903,Approved,{'Nucleoplasm'}
ENSG00000121931,Supported,"{'Centriolar satellite', 'Nucleoplasm'}"
ENSG00000121940,Enhanced,{'Endoplasmic reticulum'}
ENSG00000121957,Supported,{'Cytosol'}
ENSG00000121964,Approved,{'Cytosol'}
ENSG00000121988,Supported,{'Nucleoplasm'}
ENSG00000121989,Approved,{'Cytosol'}
ENSG00000122008,Enhanced,"{'Nuclear bodies', 'Nucleoplasm'}"
ENSG00000122012,Supported,"{'Vesicles', 'Nucleoplasm'}"
ENSG00000122025,Approved,{'Endoplasmic reticulum'}
ENSG00000122026,Supported,"{'Endoplasmic reticulum', 'Nucleoli fibrillar center', 'Cytosol'}"
ENSG00000122033,Supported,"{'Mitochondria', 'Nucleoplasm'}"
ENSG00000122034,Supported,{'Nucleoplasm'}
ENSG00000122035,Approved,{'Nuclear bodies'}
ENSG00000122042,Approved,{'Centrosome'}
ENSG00000122068,Supported,{'Nuclear speckles'}
